,theta,phi,flux,std
0,194.582,1.139,0.02466497025444387,0.00031800533352015307
1,254.752,10.945,0.0256285618049584,0.000440075200371785
2,192.506,100.056,0.033453316267373676,0.001973100073971558
3,138.521,100.311,0.031532101889072836,0.00196351356420685
4,229.478,100.365,0.034986213520072036,0.001989946298823287
5,129.184,100.651,0.03148893908306702,0.0019535095436328887
6,55.088,100.689,0.034245125632928565,0.0019496208622575624
7,111.561,100.68,0.03168153030442816,0.0019537184242827423
8,62.881,100.945,0.03373780969677402,0.001970144619800579
9,5.441,100.969,0.036756961202930476,0.0019003884347501055
10,97.92,101.088,0.032026208221732855,0.001964733794386204
11,203.509,101.126,0.03391857196859535,0.0019550934020252245
12,175.608,101.38,0.03259154714718003,0.001982551199368296
13,215.523,101.399,0.034421233214281075,0.0019610278219948166
14,244.414,101.484,0.03543050877312583,0.001988759968379442
15,86.346,101.487,0.03245798762387582,0.0019751315576663313
16,330.428,101.577,0.037157639465177486,0.0019996194783373413
17,158.221,101.662,0.031886747496991,0.001974545821439946
18,236.409,101.662,0.035160723443451135,0.001985597824483536
19,348.493,101.898,0.03701791324434148,0.0019669004796237424
20,16.122,102.337,0.03633590948256029,0.0018502888240945438
21,303.501,102.592,0.03695352968311727,0.0019729612121569557
22,40.049,102.731,0.03510774275774301,0.0018717338558253147
23,322.475,102.959,0.03707850623602416,0.001986644366347604
24,27.475,103.044,0.035786849421694134,0.0018364043773846969
25,186.078,103.15,0.033017591596292264,0.001957567720240454
26,313.652,103.448,0.0370055698837925,0.001975334176548359
27,271.172,103.548,0.036165855348104126,0.0019575826545578357
28,150.851,103.578,0.03160589560406517,0.001950373852098876
29,358.995,103.942,0.03673901352615422,0.0019057930869616506
30,284.396,103.973,0.03650010419896539,0.0019500136530550885
31,262.503,104.009,0.03587298335808978,0.0019578979376089567
32,168.993,104.087,0.03218143117228163,0.0019593652308332265
33,124.014,104.136,0.03137304125623661,0.0019223930889345202
34,221.141,104.26,0.03449784832643629,0.0019438671263152343
35,341.633,104.327,0.03693623098712691,0.0019621828164330664
36,196.883,104.411,0.033462663676008066,0.0019308961271387944
37,68.442,104.628,0.03323114532405887,0.0019477277071026674
38,250.139,104.658,0.03544100459038084,0.0019577644163143713
39,297.697,104.847,0.03671850986130405,0.0019465171697719355
40,142.863,104.84,0.03139961070658623,0.0019293436441721816
41,208.39,104.911,0.03394608760709662,0.001922043750968411
42,46.086,105.043,0.03460509305582846,0.0018762165782383517
43,134.048,105.176,0.03130657017120843,0.0019175186741309273
44,80.913,105.409,0.032526128496593386,0.0019435941106867103
45,277.37,105.438,0.03621944675618193,0.0019360281574225245
46,291.29,105.493,0.03655251843893616,0.0019360374917915745
47,9.63,105.542,0.0363636807473216,0.0018417543946085669
48,256.401,105.649,0.035576438874156346,0.0019442616810436272
49,105.032,105.661,0.03161338202679283,0.0019158800261404728
50,90.752,105.836,0.0320717269658364,0.0019308438529628948
51,179.582,106.149,0.03255166176163613,0.0019346286578163223
52,74.673,106.245,0.03279664758475968,0.0019355408365684212
53,334.352,106.316,0.036836866121540586,0.001950946331801201
54,227.339,106.333,0.034593267084321186,0.0019306388817696162
55,118.164,106.374,0.03132145406678532,0.0018997104338269286
56,52.759,106.387,0.034097382794566214,0.0018899330126787375
57,60.144,106.437,0.033628110975537674,0.0019133246851287154
58,162.065,106.475,0.031793054593873056,0.0019310917357785104
59,32.664,106.488,0.03529858653394524,0.0018130236177975102
60,20.726,106.489,0.03588059187884697,0.001804192683481844
61,352.372,106.73,0.03665106591848678,0.0019048021213950719
62,241.695,107.027,0.035015388801805894,0.0019325616168591807
63,111.774,107.04,0.03138763262280705,0.0018951960285604208
64,234.17,107.372,0.03474958201987439,0.0019253863143740084
65,97.54,107.408,0.03173699250655121,0.0019053943185438913
66,308.577,107.462,0.03666568088902674,0.0019273453846651236
67,326.524,107.682,0.03674128998473462,0.0019372898700894935
68,190.35,107.684,0.0329676629115678,0.0019037349685526418
69,318.006,108.184,0.03667642059967585,0.001927119245109396
70,213.733,108.204,0.03395554307387315,0.0018892597690691002
71,154.708,108.395,0.031454340770083,0.001902008731157228
72,201.613,108.475,0.03342466959279303,0.0018819326473130194
73,3.089,108.655,0.036299493431934296,0.0018346189395493197
74,267.422,108.755,0.03567997851384787,0.001900748515220239
75,172.887,108.94,0.03207616043934486,0.0019045323078313741
76,128.845,109.153,0.031082084535676985,0.0018687152795789476
77,345.45,109.21,0.03652344973215795,0.001896447032184106
