,theta,phi,flux,std
0,194.582,1.139,0.31241127325753165,0.00402791691447491
1,254.752,10.945,0.324616318874002,0.005574077479208805
2,192.506,100.056,0.4237261541390627,0.024991667079051295
3,138.521,100.311,0.3993916940002691,0.024870241945765575
4,229.478,100.365,0.44314213760532817,0.025205043903950786
5,129.184,100.651,0.3988449912751495,0.024743528571817146
6,55.088,100.689,0.43375537843894685,0.024694274201305776
7,111.561,100.68,0.40128439107590974,0.024746174439479008
8,62.881,100.945,0.4273296111442987,0.02495423197435414
9,5.441,100.969,0.46557078482264874,0.024070686397649303
10,97.92,101.088,0.40565013012287887,0.024885697454863145
11,203.509,101.126,0.4296191666772665,0.024763590411971646
12,175.608,101.38,0.4128108194800956,0.02511137606560174
13,215.523,101.399,0.4359859929691844,0.024838756754266365
14,244.414,101.484,0.44876965737841157,0.02519001768871003
15,86.346,101.487,0.411119127452483,0.025017397109818717
16,330.428,101.577,0.4706458352566917,0.025327566693581872
17,158.221,101.662,0.40388369396060086,0.025009977950704095
18,236.409,101.662,0.44535249185638837,0.02514996462564835
19,348.493,101.898,0.46887602537876766,0.02491314176351812
20,16.122,102.337,0.460237640014169,0.023436115516826225
21,303.501,102.592,0.468060529487947,0.02498990686261778
22,40.049,102.731,0.4446814457704118,0.02370774342573876
23,322.475,102.959,0.4696435258296035,0.02516322091556732
24,27.475,103.044,0.45328312641017016,0.023260253193330006
25,186.078,103.15,0.4182071978788045,0.02479492991655671
26,313.652,103.448,0.46871969740833286,0.025019963554749256
27,271.172,103.548,0.4580837036795972,0.02479511985485236
28,150.851,103.578,0.40032637885605193,0.024703812326891048
29,358.995,103.942,0.4653434341081904,0.02413914328542274
30,284.396,103.973,0.4623173534985574,0.024699249488232714
31,262.503,104.009,0.4543741310301874,0.02479911385824931
32,168.993,104.087,0.4076162093256352,0.024817698280975617
33,124.014,104.136,0.3973770096679575,0.024349401738681487
34,221.141,104.26,0.43695640759849913,0.024621395617129192
35,341.633,104.327,0.4678414362957328,0.024853385963637543
36,196.883,104.411,0.42384454524883075,0.024457102537014275
37,68.442,104.628,0.42091209806751995,0.024670295390296425
38,250.139,104.658,0.448902619370658,0.02479742228420184
39,297.697,104.847,0.4650837491402393,0.024654962552967657
40,142.863,104.84,0.3977135288285491,0.024437439527357403
41,208.39,104.911,0.42996770468322476,0.024344977207840447
42,46.086,105.043,0.43831479027258247,0.02376452207317903
43,134.048,105.176,0.39653505432789016,0.02428766091052773
44,80.913,105.409,0.4119822248762149,0.024617938277484038
45,277.37,105.438,0.4587625068453621,0.02452210642601696
46,291.29,105.493,0.46298122613494186,0.02452222441848114
47,9.63,105.542,0.46058939499921014,0.023328016341058824
48,256.401,105.649,0.4506180331207527,0.02462639378100016
49,105.032,105.661,0.4004211967065496,0.024266906683461438
