,theta,phi,flux,std
0,194.582,1.139,2803.4380022301,28.60602339638208
1,254.752,10.945,2842.4197199357,31.00696049109203
2,192.506,100.056,3134.4136805209,180.61060747533017
3,138.521,100.311,2987.1301519245003,200.86856486463404
4,229.478,100.365,3245.1593580750005,153.0872067359083
5,129.184,100.651,2977.3942687948993,200.20567440823172
6,55.088,100.689,3137.9502527383993,183.89639621246488
7,111.561,100.68,2979.6911686979997,199.62188690668964
8,62.881,100.945,3107.1556746183,189.85038631654456
9,5.441,100.969,3305.3382569951,138.6955536936886
10,97.92,101.088,2998.6303723657,199.2321856318552
11,203.509,101.126,3167.4167861006,171.38940266330238
12,175.608,101.38,3076.7127032082994,191.37170726812266
13,215.523,101.399,3203.8678727813003,162.11835739118627
14,244.414,101.484,3277.41155075445,142.65612514845432
15,86.346,101.487,3026.0000846694998,198.2729309837504
16,330.428,101.577,3353.31390905619,127.33686039910964
17,158.221,101.662,3024.5879221169002,198.31094341779905
18,236.409,101.662,3258.9495239030994,147.60586272014248
19,348.493,101.898,3335.2650512422,132.20589092580445
20,16.122,102.337,3273.0794771651,144.8113580257478
21,303.501,102.592,3350.4473561573996,118.17762648688206
22,40.049,102.731,3190.5930704694,167.5012262371864
23,322.475,102.959,3351.8934059706344,123.60395074694429
24,27.475,103.044,3234.6873841137995,154.40333261498776
25,186.078,103.15,3106.3581687341,182.88334655795984
26,313.652,103.448,3350.45468681,120.19575280919099
27,271.172,103.548,3316.9731828997,123.72391986528379
28,150.851,103.578,3002.5000367984,197.7143549131912
29,358.995,103.942,3310.6383729072995,133.74475598541147
30,284.396,103.973,3331.6810224471997,117.82972858701676
31,262.503,104.009,3302.43695716249,128.4828229696279
32,168.993,104.087,3049.7319915015996,192.38825093333065
33,124.014,104.136,2968.6915574321997,196.87414704779695
34,221.141,104.26,3212.0886525477,155.6235101697379
35,341.633,104.327,3335.5966845867106,128.7061576129711
36,196.883,104.411,3137.7119272023006,173.63753592866885
37,68.442,104.628,3077.2325426519,189.93803956882186
38,250.139,104.658,3278.8065930605803,136.1970889366952
39,297.697,104.847,3339.6136025818,115.72529617840401
40,142.863,104.84,2984.5701931105004,196.76267746192065
41,208.39,104.911,3172.3063017347,164.37543494905384
42,46.086,105.043,3160.8461789284,171.6757368653352
43,134.048,105.176,2972.2853345175,196.21146995510694
44,80.913,105.409,3032.8516021210003,193.54983589658752
45,277.37,105.438,3318.1298520901,119.08404069728715
46,291.29,105.493,3332.4956735403,115.3042523932685
47,9.63,105.542,3280.2724066038,137.6478761450115
48,256.401,105.649,3286.53725323824,131.02313161961504
49,105.032,105.661,2977.1819574922,194.89894194724732
50,90.752,105.836,3004.6845795491,194.42156104178457
51,179.582,106.149,3077.0532847708996,184.2967702295745
52,74.673,106.245,3050.9300380986997,190.86121493852843
53,334.352,106.316,3334.45810519816,124.87443129014001
54,227.339,106.333,3221.5129136771,149.32306684206674
55,118.164,106.374,2964.1847735231004,194.228759350152
56,52.759,106.387,3131.2617352359002,176.7153827652155
57,60.144,106.437,3102.9738247650002,182.76408270390957
58,162.065,106.475,3023.4178257004,192.36655627221688
59,32.664,106.488,3205.1611269181,156.4847582141199
60,20.726,106.489,3244.8915685062,145.1093324328307
61,352.372,106.73,3312.0696956577,129.27857578175553
62,241.695,107.027,3253.1502782328,139.40325630980837
63,111.774,107.04,2966.3265969803997,193.33215389305306
64,234.17,107.372,3234.4914860441,143.7195842804959
65,97.54,107.408,2985.5033249561,192.79409197519263
66,308.577,107.462,3333.9191094077005,115.23245198611555
67,326.524,107.682,3332.71434058656,120.90917518087413
68,190.35,107.684,3106.3172178583004,174.9595577561741
69,318.006,108.184,3332.05212946084,117.43674597749772
70,213.733,108.204,3176.5356034891,156.79453350799147
71,154.708,108.395,2998.9543893738996,191.58563911107152
72,201.613,108.475,3138.8648133781994,165.52491280711826
73,3.089,108.655,3283.0479874243,131.11099606637524
74,267.422,108.755,3291.32006487504,120.86260730350931
75,172.887,108.94,3047.3254049009997,184.7544661491765
76,128.845,109.153,2958.4398434781997,191.08616159609184
77,345.45,109.21,3310.8483706975,124.97843972812278
78,38.359,109.335,3173.7841336,159.1811142226488
79,146.809,109.662,2978.7020773067,190.6189718097874
80,14.112,109.92,3249.8691296095,136.22156499791205
81,42.262,11.244,2819.2862669801098,35.751329084151585
82,6.126,11.36,2843.8719938736203,32.07234146326882
83,283.449,110.001,3305.7531016348003,112.37467964662797
84,138.247,110.034,2964.4670683046998,190.1688481015466
85,25.742,110.274,3212.9953356196997,145.55038197142605
86,86.353,110.309,3003.3914594275,188.2634871769986
87,302.817,110.382,3318.3353497249,110.92597834214048
88,66.359,110.537,3066.0899485751,181.58946688418283
89,248.053,110.662,3250.1247365323998,130.99975324943918
90,183.746,110.844,3074.0382603653,175.50754526886064
91,219.596,110.859,3182.4040884256,149.19957823184137
92,274.898,111.039,3290.57602127853,114.36502658988925
93,338.12,111.239,3308.3913806348005,120.71677270852537
94,165.874,111.399,3018.4144175065003,184.35838924289547
95,44.597,111.413,3142.4524101876,162.8151351087363
96,356.359,111.568,3282.3994790052993,125.2677299128441
97,261.727,111.628,3269.03752918972,120.86324069060474
98,103.456,111.656,2963.3526208618,186.93468950380594
99,289.944,111.952,3301.9967247761,108.73210844658712
100,296.518,111.968,3306.7557118519994,108.42470519423294
101,122.962,112.03,2948.4524526491,186.64288275484682
102,194.953,112.0,3104.2378302722004,165.76825044066152
103,206.785,112.141,3139.5109955894,156.70946561403827
104,254.981,112.255,3254.72494920762,124.39508123046703
105,58.644,112.351,3087.0703943314,173.8968766230142
106,51.374,112.51,3113.0679239271003,167.6611533971561
107,80.247,112.594,3012.7423537873005,183.71718289005634
108,330.287,112.641,3306.2450986966396,116.4985778645217
109,73.296,112.657,3034.4159042373003,181.57664286550053
110,94.363,112.692,2976.5386194761004,185.20550461793223
111,226.001,112.694,3190.6858836029,142.3050938074829
112,312.774,112.6,3309.4491489726597,110.67637276909528
113,240.294,112.955,3223.1483807760997,132.90902171846662
114,321.868,113.195,3306.25242854055,112.93080266970492
115,7.449,113.24,3250.3917248117,127.94128592013251
116,158.438,113.379,2991.9221176442998,183.33945644656154
117,232.924,113.488,3203.8211789320003,136.80896985860954
118,109.929,113.543,2949.6368423823,183.93049259506904
119,31.248,113.569,3179.2433889968997,146.52428780157183
120,116.56,113.574,2944.9190983447997,183.968217905583
121,176.927,113.782,3041.5964253509,175.25168729140924
122,18.993,114.011,3215.5706253131,134.80025784394886
123,349.315,114.158,3279.6380945668,119.9358606764881
124,132.847,114.405,2945.4090191319997,183.03422074569363
125,150.494,114.701,2969.437473888,182.24194002384678
126,141.982,115.142,2953.2485002861004,181.87071312875327
127,212.473,115.279,3141.3139758177,147.70627552327431
128,270.055,115.324,3261.31172956342,111.10787914103541
129,188.218,115.391,3068.9987736929,165.23496984852045
130,280.134,115.583,3271.7504785427504,106.29579441631715
131,306.791,116.009,3288.63555571227,104.57477841160697
132,199.993,116.0,3101.4710931359,155.62705146771967
133,37.296,116.228,3145.3438020394997,148.42304567234436
134,341.852,116.283,3275.9313141081,114.98771370488242
135,0.576,116.342,3247.596361277,120.39361535218772
136,169.767,116.372,3010.1928040099,174.24886121918576
137,65.827,116.591,3043.5558888702003,171.39848564593126
138,88.953,116.614,2975.0084819342796,177.99898603399203
139,247.622,116.737,3217.2698615146,122.50067251065391
140,99.555,117.098,2951.5465320106796,177.49844703581783
141,12.195,117.612,3213.8472224667003,124.54151866895997
142,24.373,117.703,3179.2364407471,133.79419341521563
143,218.713,117.736,3145.7727090023,139.17535452665823
144,126.682,117.752,2930.6720004131002,176.60453633325514
145,333.891,117.771,3273.7273249632,110.43130804076922
146,316.363,117.946,3278.19175968289,104.37245099941241
147,263.381,117.9,3236.66185806842,110.86046627516527
148,43.883,118.078,3112.9000500510997,151.66340064256644
149,286.411,118.143,3263.13798395216,100.8683071372723
150,300.192,118.198,3272.4498012756103,100.28431180258958
151,325.396,118.413,3273.84657791553,106.6520544165679
152,255.6,118.42,3221.2060951073,114.7335708575356
153,162.163,118.468,2981.2878698663,172.8557335295784
154,58.322,118.519,3060.5470468885,163.05769918686775
155,181.241,118.542,3033.7167472450005,163.99061710643994
156,81.85,118.751,2984.42813396245,172.83179993849325
157,73.831,118.776,3007.7641999576,170.67826512687117
158,50.941,118.918,3084.3131729347997,156.48752894166313
159,293.259,118.966,3263.23522369118,98.85121914034323
160,240.137,119.099,3188.7433697363,123.21464107540785
161,353.355,119.106,3243.1910974266,113.7576984996923
162,225.483,119.333,3154.2409517480996,131.89454935188
163,205.568,119.567,3099.4512922555,145.03093918363098
164,105.864,119.666,2932.7830116446003,172.36553983564585
165,193.122,119.7,3062.9758744758,153.74774380510684
166,136.27,119.843,2929.31535885849,172.5551836562064
167,232.684,119.865,3167.9678293375,126.41595958855176
168,119.902,119.866,2922.35703310134,172.1167374929582
169,154.049,119.894,2956.7672377847994,171.5691374865202
170,274.554,120.164,3237.1928231566003,101.55179404348884
171,145.407,120.439,2938.6779384404,171.173606385997
172,112.814,120.553,2922.9177761923197,170.52345982605996
173,30.327,120.863,3142.3063410450004,133.7396497979263
174,5.158,120.977,3209.120705415,115.15112030689532
175,173.878,121.329,2999.3389650533,162.21396600390545
176,345.675,121.387,3238.6332403502,107.87089334139894
177,93.418,121.42,2946.0484206871,168.43031880090746
178,17.452,121.669,3174.8936920642,121.44151437965985
179,309.985,121.736,3251.97347680613,96.57098314317214
180,211.745,122.56,3099.7322648908,134.78586012373108
181,66.769,122.643,3011.79604205846,159.48527365853195
182,248.735,122.749,3181.8289481891998,111.25601390330303
183,337.468,123.014,3234.9808261783,102.79190412514463
184,185.97,123.141,3024.3781387193003,151.30181063326935
185,266.972,123.175,3207.27091289161,99.98289744765015
186,36.888,123.335,3106.3853214148003,135.07908081738452
187,319.527,123.456,3239.9843340092702,96.43729431934756
188,280.536,123.501,3220.64995371891,93.7371728135989
189,129.649,123.557,2909.8888839310202,164.09462562152729
190,166.021,123.604,2968.0035459499995,160.2522020169078
191,198.585,123.663,3057.2267976454004,141.6029724680426
192,328.729,123.783,3235.0405034014,98.81397602604159
193,357.717,123.985,3202.2382497561002,106.83824121213304
194,85.361,124.051,2952.18848282343,161.67438873035871
195,258.028,124.125,3187.5911981154995,103.14242738518
196,302.838,124.348,3230.7008299402596,90.72946890704962
197,76.12,124.527,2974.31281649828,158.64335641417492
198,59.239,124.79,3025.0044562651,150.30551141657298
199,218.538,124.815,3103.5116235349997,125.56461981287434
200,99.42,124.827,2921.1937020597497,160.68646067789186
201,44.012,124.94,3073.4785762048004,138.1885523714628
202,157.609,125.188,2941.2176118833004,158.63019446162286
203,23.335,125.288,3134.4476935102,119.2196846559638
204,241.285,125.306,3150.4863158088,110.68450721880035
205,287.595,125.318,3214.06331350167,88.95211419911035
206,10.254,125.379,3167.0553907631,109.96880442605361
207,139.285,125.426,2910.15152035347,159.6719882991768
208,51.547,125.489,3046.1508472013998,143.20322762749564
209,295.217,125.587,3217.3396558298305,87.9459414165969
210,148.662,125.875,2921.18425898764,158.14131663929845
211,122.245,126.065,2897.991355074159,157.86194127024316
212,225.87,126.149,3112.1387098429996,118.10152529690932
213,178.365,126.2,2987.0728825747,148.54040948848316
214,233.55,126.374,3127.4757434371004,113.04422639708874
215,349.744,126.491,3195.4475755205003,99.778854942869
216,106.579,126.767,2903.7639719726,155.94399716237504
217,204.72,127.148,3052.7842208092,129.5420515721949
218,114.383,127.175,2895.7983565152,154.95539404181602
219,272.329,127.397,3182.4629506369,89.71973861716832
220,191.275,127.48,3014.6739002189997,137.7353198738433
221,312.597,127.555,3208.0207682083,87.06609498153699
222,341.168,128.318,3190.3539448709002,93.95760172904691
223,29.925,128.319,3094.4864208832996,118.46080183749135
224,90.664,128.387,2921.283855418456,151.39629183337175
225,69.28,128.525,2973.5217417024805,146.34541034739394
226,251.473,128.53,3144.7401339922003,98.13666451889992
227,2.573,128.714,3157.3378457891995,99.80119653012513
228,170.175,128.724,2952.6545505283,145.85860278456437
229,322.409,129.09,3194.7301752310004,86.97146469616564
230,262.274,129.213,3155.4076601671995,90.86539086289189
231,332.011,129.261,3189.4348275297,89.52922389267468
232,16.025,129.433,3123.0250875023994,105.54075467201919
233,132.042,129.436,2887.1391479043496,149.30063372737055
234,80.209,129.74,2937.87522235288,146.41378814170386
235,211.597,129.994,3051.7731373252,118.37517550397307
236,316.008,13.078,2868.2047646826004,30.192901592421205
237,217.843,13.301,2833.4430269943905,36.12684205430022
238,187.575,13.616,2810.9825396269002,40.01091699413778
239,289.715,13.842,2870.9214175842003,30.253557713789753
240,279.256,130.388,3165.5298717408004,81.51504078888492
241,304.675,130.471,3181.6903030232,79.90178825714757
242,161.335,130.531,2923.5903177831,143.7763918322853
243,37.23,130.587,3057.4383041256,119.60980490663586
244,183.416,130.897,2973.8584203932,133.80719150149363
245,61.578,131.008,2982.0790006312295,136.2568706299089
246,142.03,131.123,2888.85304433933,144.6151978421067
247,151.893,131.407,2901.5024324827205,143.07394684958894
248,243.926,131.409,3109.8586431182002,96.1574842413017
249,197.322,131.433,3006.2730355897,124.0437821013049
250,354.245,131.526,3147.8521802208,91.16905907668537
251,97.614,131.553,2894.8990944698,143.23317784852145
252,45.138,131.906,3025.1133393378996,122.90603937068711
253,287.371,131.959,3159.6583699485,76.70627841739177
254,296.075,131.985,3165.0526227496002,76.17126795256215
255,219.194,132.021,3055.3350124288004,108.87002236145088
256,53.385,132.096,2999.75207858682,128.41391527927024
257,123.769,132.221,2872.8005597078004,141.62664365349394
258,235.737,132.881,3083.3865517538998,97.36224073008707
259,22.618,132.996,3079.3810658958,102.50757768306462
260,227.348,133.041,3065.4822666438,101.65721512271543
261,8.13,133.189,3110.0340446600007,93.23750604551475
262,105.868,133.329,2876.6805330519,138.4157655937534
263,268.396,133.447,3128.267779639,79.35928455671586
264,314.757,133.45,3157.434457491,76.30823342340307
265,114.832,133.56,2868.9473832079,137.8150362490502
266,345.177,133.627,3141.03562754537,84.28437984037522
267,174.832,133.758,2936.5287689606994,130.25107865826197
268,256.039,133.863,3108.8799276810005,84.2889109952897
269,73.584,134.028,2932.0586368417103,132.97226901898236
270,86.205,134.169,2902.626010732,135.12978559256428
271,335.407,134.802,3138.8663289532,79.27020597460394
272,325.143,134.819,3143.6372761752,76.40544153897649
273,204.258,134.847,3000.5887052396,110.9975309279896
274,189.255,135.308,2961.5401131631,118.69780941428279
275,133.972,135.38,2862.949182443084,132.7190613797922
276,165.43,135.866,2904.5620599197996,127.54745404258001
277,30.127,135.891,3037.9391083458,101.51065812796712
278,359.418,136.404,3097.9260615268,82.82526168423402
279,276.335,136.537,3109.5859477453996,70.14321436121334
280,305.788,136.58,3127.6362776639994,68.25849366167951
281,144.639,136.905,2865.81861900875,127.90411130273439
282,65.665,136.981,2935.6046140287995,121.76954995584512
283,155.275,136.994,2880.2521411234898,126.47821098021784
284,248.391,137.205,3069.77788766432,80.73995724400346
285,14.613,137.277,3062.9133699726,87.97019238820366
286,94.121,137.513,2872.5114480445995,126.12530715340122
287,212.157,137.532,2999.7404432061994,99.44464221772208
288,38.523,137.917,3001.1830365322,102.87781305707733
289,285.736,138.193,3102.4634195946996,64.66466007074807
290,295.862,138.215,3108.9071267096997,64.07249133643774
291,124.526,138.348,2846.7251711181,124.06316083309702
292,262.692,138.468,3077.9734349155997,71.19434244154859
293,56.813,138.59,2948.7933848874995,112.9892487392296
294,180.26,138.61,2920.842609894,114.01609165470606
295,47.57,138.872,2970.84201206728,106.68113015790696
296,349.743,138.876,3088.6554874013204,74.55054999189562
297,79.985,138.878,2891.3839766072,120.51409366608382
298,239.63,139.217,3039.36464770558,80.53962949320905
299,220.933,139.279,3004.9676902362003,90.16606699444918
300,196.127,139.286,2951.872462798,103.98584197497887
301,316.554,139.407,3102.7046134705,64.86689156857283
302,103.669,139.455,2851.7754917758,120.70407221156324
303,114.136,139.754,2842.7478200797996,119.87790145002585
304,230.271,139.889,3017.9847755142,83.70332552149645
305,118.792,14.216,2777.9822731689997,44.97373427384625
306,143.719,14.398,2782.4071819783,45.021424719506875
307,69.115,14.964,2805.8024239604,44.731671999545064
308,339.133,140.363,3084.8989361053,68.67842335855852
309,327.885,140.614,3088.8661887959997,65.27654424206872
310,22.242,140.799,3017.7638371653,84.70160054960657
311,5.569,141.009,3047.5913232093003,75.50066248924925
312,170.174,141.124,2885.877741867,110.53762162709984
313,135.51,141.376,2837.9841661545,114.9272996379295
314,271.58,141.986,3056.1179937756997,60.51525378720725
315,255.144,142.412,3034.4231706955998,65.9560464570514
316,71.99,142.451,2889.5237217908757,108.05101181420814
317,159.049,142.591,2859.06422459638,108.95380245382778
318,204.25,142.636,2946.6945538889,90.55526725890253
319,306.164,142.677,3071.0810014277,56.43969779111876
320,88.725,142.717,2856.5207401627,110.27117745466546
321,147.267,142.747,2842.3736901685097,110.12807450931636
322,186.806,143.152,2907.5539280294997,97.96308341391646
323,31.137,143.537,2976.8221809241,83.99888978540032
324,355.216,143.973,3035.7055098679,65.60929125418517
325,282.456,144.027,3046.6118863399997,53.76753035831748
326,294.428,144.282,3051.5897211755,52.40923784258484
327,124.457,144.444,2821.5254591436997,105.84803888349917
328,62.433,144.759,2897.26892058039,98.07057358253186
329,213.704,145.122,2947.5989224571,79.26888958089238
330,99.694,145.129,2831.171682746,103.65419102335282
331,245.857,145.144,2999.2014691304103,64.06925456479786
332,13.069,145.176,2999.0060402747,70.07951014723231
333,41.18,145.242,2941.8314560908098,85.97331388787177
334,318.059,145.415,3045.3444800385005,53.43955398617223
335,51.882,145.692,2915.08897653894,90.70327227088377
336,112.08,145.751,2819.084694955,101.98041314780404
337,343.513,145.887,3029.8019708462,58.56619975961592
338,175.975,146.208,2869.2621658292996,93.52309373447153
339,330.844,146.448,3032.0068834381,54.368800351921166
340,224.265,146.486,2955.8773735698,70.81033831793005
341,235.288,146.521,2972.73157095602,65.68505036033599
342,264.668,146.638,3007.8527064796,53.504050411807235
343,81.134,147.041,2848.3488851569,96.43981227374894
344,194.883,147.198,2898.1129980841,82.99381922864715
345,136.698,147.414,2813.9601632180998,96.68064367315323
346,163.586,148.142,2839.24898711266,91.31172019125789
347,150.136,148.623,2820.16506896594,92.08170765909314
348,22.29,148.674,2953.8974214292,67.29027336963712
349,305.674,148.75,3012.861799716,45.26675432770062
350,2.103,148.787,2983.8337376914997,58.37010999589392
351,277.061,149.378,2993.4766482993,45.03253767767784
352,339.997,15.096,2878.4203007933,33.038447660862616
353,291.394,150.148,2994.7717109343,42.12487657605477
354,93.425,150.239,2816.881365405,88.31398679766565
355,71.177,150.265,2849.5106472481,85.10246341687854
356,255.306,150.285,2966.2269011281996,49.74344416124849
357,204.875,150.488,2894.8358922942,70.02816770892736
358,123.352,150.493,2798.635975659,87.95295982218114
359,183.429,150.966,2856.1176755733004,77.44778294538604
360,349.069,151.292,2975.03197869604,49.978549174593965
361,33.41,151.2,2914.8326485780003,67.46829074049242
362,319.333,151.463,2987.4584041737,43.03493957448695
363,108.183,151.492,2799.435017381,85.14304916113817
364,59.145,152.123,2861.2419674184903,76.49653002395827
365,334.364,152.287,2975.4555616415996,44.8634410251306
366,46.067,152.428,2883.3553359908296,70.5849281887822
367,243.556,152.646,2934.04690603882,49.57358082466311
368,216.868,152.69,2898.80537546,59.804915455517396
369,11.1,153.106,2935.3483582518998,53.67632801270793
370,230.236,153.47,2911.5749399323895,52.9346042640112
371,137.551,153.486,2792.3946904576997,79.04145316850422
372,169.511,153.553,2822.9755405141295,74.5455434821233
373,268.819,154.054,2946.1208218452,39.36169654229685
374,153.631,154.503,2800.91094986051,74.84130738562727
375,84.144,154.553,2811.0581247504,75.48160281006278
376,303.985,154.777,2956.2732394107998,35.918607958252835
377,193.36,155.151,2849.0612834892,63.22712975762779
378,285.996,155.712,2941.9249755319,34.41387527809991
379,356.699,156.433,2923.98334720853,43.8191618354151
380,120.72,156.46,2780.5235337792997,71.54145165552328
381,22.993,156.597,2892.7831285740003,52.071555624188825
382,101.521,156.839,2786.8575248362,70.50517952116049
383,320.45,157.542,2932.0870249386003,34.80460544397553
384,71.24,157.696,2815.8285018318998,65.53133712256697
385,256.892,157.713,2907.0844571765,37.293936318824514
386,339.109,158.078,2921.9397143816,37.69797366874285
387,206.621,158.371,2849.9759903872005,51.68202074898274
388,177.951,158.66,2813.0793624134003,59.5393905204592
389,38.09,158.786,2857.79476306754,53.69834020029308
390,55.127,159.204,2831.808975106335,58.28251805964792
391,138.045,159.582,2776.5099911969996,63.07631228474047
392,241.098,159.869,2878.16932432081,38.739262861799595
393,242.857,16.4,2867.177818028,36.99133018667361
394,97.473,16.601,2786.9006477287,49.75056136065051
395,17.945,16.807,2865.4788255415997,38.977974707325195
396,223.229,160.091,2859.50882739373,43.47528927225046
397,158.543,160.331,2788.06725575625,59.37436303082351
398,300.297,160.706,2903.9107525949003,29.481175595700115
399,276.757,160.754,2895.7355754038,30.228116697906273
400,7.966,161.033,2878.9517550177497,40.74016941559447
401,90.441,161.499,2783.9198329087,58.71904346006722
402,115.389,162.26,2770.0012755595,57.50273765912975
403,190.929,163.119,2811.2590047325,47.13927499768805
404,321.536,163.643,2881.3579738188,29.876681884111317
405,346.588,163.709,2874.2107241948997,33.754986024895295
406,25.108,164.539,2841.0455105584997,40.91407809968583
407,261.193,164.79,2858.8544149771,29.94376832186016
408,72.733,164.87,2791.9447399767005,50.194800982792835
409,138.049,165.696,2767.9662381585,49.789169702285086
410,166.862,165.982,2783.16039455553,46.64814812127954
